id,author,pipeline_tag,library_clean,K-Means,DBSCAN,Agglomerative
BAAI/bge-base-en-v1.5,BAAI,feature-extraction,sentence-transformers,0,0,0
pyannote/speaker-diarization-3.1,pyannote,automatic-speech-recognition,pyannote-audio,0,0,0
openai/whisper-large-v3-turbo,openai,automatic-speech-recognition,transformers,0,1,0
openai/gpt-oss-20b,openai,text-generation,transformers,2,0,0
Qwen/Qwen3.6-35B-A3B-FP8,Qwen,image-text-to-text,transformers,2,0,0
laion/clap-htsat-fused,laion,audio-classification,transformers,0,0,0
Qwen/Qwen2.5-VL-3B-Instruct,Qwen,image-text-to-text,transformers,2,0,0
meta-llama/Llama-3.1-8B-Instruct,meta-llama,text-generation,transformers,0,0,0
argmaxinc/whisperkit-coreml,argmaxinc,automatic-speech-recognition,whisperkit,4,0,0
FacebookAI/xlm-roberta-large,FacebookAI,fill-mask,transformers,0,1,0
facebook/contriever,facebook,unknown,transformers,2,0,0
intfloat/multilingual-e5-large,intfloat,feature-extraction,sentence-transformers,0,1,0
Qwen/Qwen3-1.7B,Qwen,text-generation,transformers,2,0,0
Qwen/Qwen3.6-27B-FP8,Qwen,image-text-to-text,transformers,2,0,0
intfloat/multilingual-e5-base,intfloat,sentence-similarity,sentence-transformers,0,1,0
pyannote/wespeaker-voxceleb-resnet34-LM,pyannote,unknown,pyannote-audio,0,0,0
Comfy-Org/stable-diffusion-v1-5-archive,Comfy-Org,unknown,diffusion-single-file,4,0,0
answerdotai/ModernBERT-base,answerdotai,fill-mask,transformers,0,0,0
Falconsai/nsfw_image_detection,Falconsai,image-classification,transformers,0,0,0
Qwen/Qwen3.6-27B,Qwen,image-text-to-text,transformers,2,0,0
pyannote/segmentation-3.0,pyannote,voice-activity-detection,pyannote-audio,4,-1,0
Qwen/Qwen3.5-4B,Qwen,image-text-to-text,transformers,2,0,0
Qwen/Qwen3.6-35B-A3B,Qwen,image-text-to-text,transformers,2,0,0
ProsusAI/finbert,ProsusAI,text-classification,transformers,0,0,0
openai/whisper-base,openai,automatic-speech-recognition,transformers,0,1,0
openai/whisper-large-v3,openai,automatic-speech-recognition,transformers,0,1,0
google/gemma-4-E4B-it,google,any-to-any,transformers,2,-1,0
Qwen/Qwen2.5-3B-Instruct,Qwen,text-generation,transformers,2,0,0
NN-Dataset/tflite,NN-Dataset,unknown,missing,1,-1,1
farbodtavakkoli/OTel-LLM-E4B-IT,farbodtavakkoli,text-generation,missing,1,-1,1
Qwen/Qwen2.5-0.5B-Instruct,Qwen,text-generation,transformers,2,0,0
hmellor/tiny-random-LlamaForCausalLM,hmellor,text-generation,transformers,3,0,0
Comfy-Org/Wan_2.2_ComfyUI_Repackaged,Comfy-Org,unknown,diffusion-single-file,4,-1,1
RedHatAI/gemma-4-31B-it-FP8-block,RedHatAI,image-text-to-text,transformers,1,0,1
Comfy-Org/z_image_turbo,Comfy-Org,unknown,diffusion-single-file,4,-1,1
mistralai/Mistral-7B-Instruct-v0.3,mistralai,unknown,vllm,4,0,0
mixedbread-ai/mxbai-embed-large-v1,mixedbread-ai,feature-extraction,sentence-transformers,0,0,0
nomic-ai/nomic-embed-text-v1,nomic-ai,sentence-similarity,sentence-transformers,0,0,0
Qwen/Qwen3-VL-8B-Instruct,Qwen,image-text-to-text,transformers,2,0,0
BAAI/bge-reranker-base,BAAI,text-classification,sentence-transformers,0,0,0
pyannote/speaker-diarization-community-1,pyannote,automatic-speech-recognition,pyannote-audio,0,0,0
BAAI/bge-small-zh-v1.5,BAAI,feature-extraction,transformers,0,0,0
google/vit-base-patch16-224,google,image-classification,transformers,0,0,0
dphn/dolphin-2.9.1-yi-1.5-34b,dphn,text-generation,transformers,0,0,0
Qwen/Qwen2.5-7B-Instruct-AWQ,Qwen,text-generation,transformers,2,0,0
meta-llama/Prompt-Guard-86M,meta-llama,text-classification,transformers,0,0,0
deepreinforce-ai/Ornith-1.0-9B-GGUF,deepreinforce-ai,text-generation,transformers,1,0,1
Qwen/Qwen3-4B,Qwen,text-generation,transformers,2,0,0
openai/clip-vit-large-patch14-336,openai,zero-shot-image-classification,transformers,3,0,0
openai/gpt-oss-120b,openai,text-generation,transformers,2,0,0
dima806/fairface_age_image_detection,dima806,image-classification,transformers,3,0,0
cyankiwi/gemma-4-26B-A4B-it-AWQ-4bit,cyankiwi,image-text-to-text,transformers,1,0,1
laion/CLIP-ViT-B-32-laion2B-s34B-b79K,laion,zero-shot-image-classification,open_clip,4,0,0
google-bert/bert-base-multilingual-uncased,google-bert,fill-mask,transformers,0,1,0
jonatasgrosman/wav2vec2-large-xlsr-53-portuguese,jonatasgrosman,automatic-speech-recognition,transformers,0,0,0
google/gemma-4-E2B-it,google,any-to-any,transformers,2,-1,0
google/gemma-3-1b-it,google,text-generation,transformers,2,0,0
ibm-granite/granite-4.1-8b,ibm-granite,text-generation,transformers,1,0,1
Qwen/Qwen3-VL-4B-Instruct,Qwen,image-text-to-text,transformers,2,0,0
facebook/dinov2-small,facebook,image-feature-extraction,transformers,3,0,0
jonatasgrosman/wav2vec2-large-xlsr-53-russian,jonatasgrosman,automatic-speech-recognition,transformers,0,0,0
microsoft/mdeberta-v3-base,microsoft,fill-mask,transformers,0,0,0
zai-org/GLM-OCR,zai-org,image-text-to-text,transformers,2,0,1
distilbert/distilbert-base-uncased-finetuned-sst-2-english,distilbert,text-classification,transformers,0,0,0
facebook/wav2vec2-base,facebook,unknown,transformers,2,0,0
E-MIMIC/inclusively-reformulation-it5,E-MIMIC,unknown,transformers,3,0,0
pyannote/voice-activity-detection,pyannote,automatic-speech-recognition,pyannote-audio,4,0,0
Qwen/Qwen3-Embedding-8B,Qwen,feature-extraction,sentence-transformers,2,0,0
ggml-org/embeddinggemma-300M-GGUF,ggml-org,unknown,missing,4,0,0
Qwen/Qwen3-4B-Instruct-2507,Qwen,text-generation,transformers,2,0,0
Qwen/Qwen2.5-14B-Instruct,Qwen,text-generation,transformers,2,0,0
ibm-granite/granite-embedding-small-english-r2,ibm-granite,feature-extraction,sentence-transformers,0,0,0
deepreinforce-ai/Ornith-1.0-35B-GGUF,deepreinforce-ai,text-generation,transformers,1,0,1
sentence-transformers/all-MiniLM-L12-v2,sentence-transformers,sentence-similarity,sentence-transformers,0,0,0
TostAI/nsfw-image-detection-large,TostAI,unknown,missing,3,0,0
google-bert/bert-base-cased,google-bert,fill-mask,transformers,0,0,0
jinaai/jina-embeddings-v3,jinaai,feature-extraction,transformers,0,1,0
facebook/bart-large-mnli,facebook,zero-shot-classification,transformers,0,0,0
w11wo/indonesian-roberta-base-posp-tagger,w11wo,token-classification,transformers,3,0,0
Qwen/Qwen2-1.5B-Instruct,Qwen,text-generation,transformers,2,0,0
Qwen/Qwen3-30B-A3B,Qwen,text-generation,transformers,2,0,0
Qwen/Qwen3-ASR-0.6B,Qwen,automatic-speech-recognition,missing,2,0,0
llava-hf/llava-1.5-7b-hf,llava-hf,image-text-to-text,transformers,3,0,0
timm/resnet50.a1_in1k,timm,image-classification,timm,4,0,0
zai-org/GLM-5.2-FP8,zai-org,text-generation,transformers,1,0,1
Snowflake/snowflake-arctic-embed-xs,Snowflake,sentence-similarity,sentence-transformers,3,0,0
pyannote/segmentation,pyannote,voice-activity-detection,pyannote-audio,4,-1,0
patrickjohncyh/fashion-clip,patrickjohncyh,zero-shot-image-classification,transformers,3,0,0
Qwen/Qwen3-14B,Qwen,text-generation,transformers,2,0,0
Qwen/Qwen3-Embedding-4B,Qwen,feature-extraction,sentence-transformers,2,0,0
Qwen/Qwen2.5-Coder-14B-Instruct,Qwen,text-generation,transformers,2,0,0
nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4,nvidia,text-generation,transformers,2,0,1
datalab-to/chandra-ocr-2,datalab-to,image-text-to-text,transformers,1,0,1
Qwen/Qwen2-VL-2B-Instruct,Qwen,image-text-to-text,transformers,2,0,0
Qwen/Qwen3.5-0.8B,Qwen,image-text-to-text,transformers,2,0,0
deepseek-ai/DeepSeek-V4-Flash,deepseek-ai,text-generation,transformers,2,0,1
unsloth/Qwen3.6-27B-MTP-GGUF,unsloth,image-text-to-text,transformers,2,0,1
google/gemma-4-12B-it,google,any-to-any,transformers,1,-1,0
autogluon/chronos-2-small,autogluon,time-series-forecasting,chronos-forecasting,4,0,0
Qwen/Qwen3-VL-8B-Instruct-FP8,Qwen,image-text-to-text,transformers,2,0,0
Xenova/all-MiniLM-L6-v2,Xenova,feature-extraction,transformers.js,4,0,0
unsloth/Qwen3.6-27B-NVFP4,unsloth,image-text-to-text,transformers,1,0,1
docling-project/docling-models,docling-project,unknown,transformers,3,0,0
Rostlab/prot_t5_xl_uniref50,Rostlab,unknown,transformers,3,0,0
charactr/vocos-mel-24khz,charactr,unknown,missing,3,0,0
daekeun-ml/koelectra-small-v3-nsmc,daekeun-ml,text-classification,transformers,3,0,0
nvidia/Gemma-4-31B-IT-NVFP4,nvidia,text-generation,Model Optimizer,1,0,1
autogluon/chronos-bolt-tiny,autogluon,time-series-forecasting,missing,4,0,0
Qwen/Qwen3-VL-32B-Instruct,Qwen,image-text-to-text,transformers,2,0,0
colbert-ir/colbertv2.0,colbert-ir,unknown,transformers,3,0,0
microsoft/Florence-2-base,microsoft,image-text-to-text,transformers,2,0,0
microsoft/deberta-v3-base,microsoft,fill-mask,transformers,2,0,0
cross-encoder/mmarco-mMiniLMv2-L12-H384-v1,cross-encoder,text-ranking,sentence-transformers,0,0,0
Qwen/Qwen3.5-27B,Qwen,image-text-to-text,transformers,2,0,0
Qwen/Qwen3-Reranker-0.6B,Qwen,text-ranking,transformers,2,0,0
intfloat/e5-large-v2,intfloat,sentence-similarity,sentence-transformers,0,0,0
Qwen/Qwen2.5-0.5B,Qwen,text-generation,transformers,2,0,0
jonatasgrosman/wav2vec2-large-xlsr-53-polish,jonatasgrosman,automatic-speech-recognition,transformers,3,0,0
Qwen/Qwen3-Reranker-4B,Qwen,text-ranking,transformers,2,0,0
ResembleAI/chatterbox,ResembleAI,text-to-speech,chatterbox,4,-1,0
distilbert/distilgpt2,distilbert,text-generation,transformers,0,0,0
cardiffnlp/twitter-roberta-base-sentiment-latest,cardiffnlp,text-classification,transformers,3,0,0
baidu/Unlimited-OCR,baidu,image-text-to-text,transformers,1,-1,1
NeoQuasar/Kronos-Tokenizer-base,NeoQuasar,time-series-forecasting,pytorch,4,0,0
Qwen/Qwen3.5-35B-A3B,Qwen,image-text-to-text,transformers,2,0,0
Qwen/Qwen2.5-VL-7B-Instruct-AWQ,Qwen,image-text-to-text,transformers,2,0,0
MahmoudAshraf/mms-300m-1130-forced-aligner,MahmoudAshraf,automatic-speech-recognition,transformers,0,1,0
sentence-transformers/paraphrase-MiniLM-L6-v2,sentence-transformers,sentence-similarity,sentence-transformers,0,0,0
deepreinforce-ai/Ornith-1.0-35B,deepreinforce-ai,text-generation,transformers,1,0,1
cyankiwi/Qwen3.6-27B-AWQ-INT4,cyankiwi,image-text-to-text,transformers,1,0,1
TinyLlama/TinyLlama-1.1B-Chat-v1.0,TinyLlama,text-generation,transformers,0,0,0
trl-internal-testing/tiny-Qwen2ForSequenceClassification-2.5,trl-internal-testing,text-classification,transformers,3,-1,0
Qwen/Qwen3-TTS-12Hz-1.7B-Base,Qwen,unknown,missing,2,0,0
Qwen/Qwen3-TTS-12Hz-1.7B-CustomVoice,Qwen,text-to-speech,missing,2,0,0
Alibaba-NLP/gte-reranker-modernbert-base,Alibaba-NLP,text-ranking,transformers,3,0,0
Qwen/Qwen3.5-2B,Qwen,image-text-to-text,transformers,2,0,0
deepseek-ai/DeepSeek-OCR,deepseek-ai,image-text-to-text,transformers,2,0,1
prism-ml/Bonsai-27B-gguf,prism-ml,text-generation,llama.cpp,1,-1,1
unsloth/Qwen3-Coder-30B-A3B-Instruct-GGUF,unsloth,text-generation,transformers,2,0,0
google-bert/bert-base-multilingual-cased,google-bert,fill-mask,transformers,0,1,0
vikhyatk/moondream2,vikhyatk,image-text-to-text,transformers,2,0,0
Qwen/Qwen3-Coder-Next-FP8,Qwen,text-generation,transformers,2,0,0
Qwen/Qwen3-14B-AWQ,Qwen,text-generation,transformers,2,0,0
facebook/dinov2-base,facebook,image-feature-extraction,transformers,2,0,0
cross-encoder/ms-marco-MiniLM-L12-v2,cross-encoder,text-ranking,sentence-transformers,0,0,0
EleutherAI/pythia-160m,EleutherAI,text-generation,transformers,3,0,0
openai/whisper-small,openai,automatic-speech-recognition,transformers,0,1,0
deepseek-ai/DeepSeek-OCR-2,deepseek-ai,image-text-to-text,transformers,2,0,1
sentence-transformers/paraphrase-MiniLM-L3-v2,sentence-transformers,sentence-similarity,sentence-transformers,0,0,0
microsoft/deberta-v3-large,microsoft,fill-mask,transformers,2,0,0
emilyalsentzer/Bio_ClinicalBERT,emilyalsentzer,fill-mask,transformers,3,0,0
Qwen/Qwen3-VL-Embedding-8B,Qwen,sentence-similarity,sentence-transformers,2,0,0
Qwen/Qwen2.5-14B-Instruct-AWQ,Qwen,text-generation,transformers,2,0,0
sentence-transformers/all-distilroberta-v1,sentence-transformers,sentence-similarity,sentence-transformers,0,0,0
google/siglip-so400m-patch14-384,google,zero-shot-image-classification,transformers,2,0,0
google/gemma-4-31B-it-qat-w4a16-ct,google,image-text-to-text,transformers,1,0,1
biohub/ESMC-6B,biohub,fill-mask,transformers,1,0,1
Comfy-Org/Wan_2.1_ComfyUI_repackaged,Comfy-Org,unknown,diffusion-single-file,4,0,1
BAAI/bge-reranker-large,BAAI,feature-extraction,transformers,0,0,0
autogluon/chronos-bolt-base,autogluon,time-series-forecasting,missing,4,0,0
intfloat/multilingual-e5-large-instruct,intfloat,feature-extraction,sentence-transformers,0,1,0
facebook/sam3,facebook,mask-generation,transformers,2,-1,0
Lightricks/LTX-2.3,Lightricks,image-to-video,diffusers,4,-1,0
amazon/chronos-bolt-small,amazon,time-series-forecasting,chronos-forecasting,4,0,0
Xenova/bge-base-en-v1.5,Xenova,feature-extraction,transformers.js,4,0,0
nvidia/Qwen3.6-27B-NVFP4,nvidia,text-generation,Model Optimizer,1,0,1
Qwen/Qwen3-VL-2B-Instruct,Qwen,image-text-to-text,transformers,2,0,0
zai-org/GLM-4.7-Flash,zai-org,text-generation,transformers,2,0,1
Systran/faster-whisper-small,Systran,automatic-speech-recognition,ctranslate2,0,1,0
mistralai/Voxtral-Mini-4B-Realtime-2602,mistralai,automatic-speech-recognition,vllm,4,-1,0
google/gemma-3-270m,google,text-generation,transformers,2,0,0
HuggingFaceTB/SmolLM2-135M-Instruct,HuggingFaceTB,text-generation,transformers,2,0,0
google/gemma-3-4b-it,google,image-text-to-text,transformers,2,0,0
deepreinforce-ai/Ornith-1.0-9B,deepreinforce-ai,text-generation,transformers,1,0,1
Qwen/Qwen3-30B-A3B-Instruct-2507,Qwen,text-generation,transformers,2,0,0
microsoft/TRELLIS-image-large,microsoft,image-to-3d,trellis,4,-1,0
amazon/chronos-bolt-tiny,amazon,time-series-forecasting,chronos-forecasting,4,0,0
Qwen/Qwen2.5-Coder-7B-Instruct,Qwen,text-generation,transformers,2,0,0
Qwen/Qwen3-32B-AWQ,Qwen,text-generation,transformers,2,0,0
Qwen/Qwen3-ASR-1.7B,Qwen,automatic-speech-recognition,missing,2,0,0
facebook/musicgen-medium,facebook,text-to-audio,transformers,3,0,0
handy-computer/nemotron-3.5-asr-streaming-0.6b-gguf,handy-computer,automatic-speech-recognition,transcribe.cpp,1,-1,1
google/embeddinggemma-300m,google,sentence-similarity,sentence-transformers,2,0,0
google/diffusiongemma-26B-A4B-it,google,image-text-to-text,transformers,1,0,1
StanfordAIMI/stanford-deidentifier-base,StanfordAIMI,token-classification,transformers,3,0,0
RedHatAI/Qwen3.6-35B-A3B-NVFP4,RedHatAI,unknown,missing,1,0,1
docling-project/docling-layout-heron,docling-project,unknown,missing,4,0,0
sentence-transformers/multi-qa-mpnet-base-dot-v1,sentence-transformers,sentence-similarity,sentence-transformers,0,0,0
facebook/nllb-200-distilled-600M,facebook,translation,transformers,0,-1,0
dropbox-dash/faster-whisper-large-v3-turbo,dropbox-dash,unknown,missing,3,0,0
google/flan-t5-base,google,unknown,transformers,2,0,0
facebook/esmfold_v1,facebook,unknown,transformers,2,0,0
jhgan/ko-sroberta-multitask,jhgan,sentence-similarity,sentence-transformers,4,0,0
rhasspy/faster-whisper-tiny-int8,rhasspy,unknown,transformers,3,0,0
deepseek-ai/DeepSeek-R1-0528-Qwen3-8B,deepseek-ai,text-generation,transformers,2,0,0
BAAI/bge-base-zh-v1.5,BAAI,feature-extraction,sentence-transformers,3,0,0
Kijai/WanVideo_comfy,Kijai,unknown,diffusion-single-file,4,0,1
timm/resnet18.a1_in1k,timm,image-classification,timm,4,0,0
jonatasgrosman/wav2vec2-large-xlsr-53-dutch,jonatasgrosman,automatic-speech-recognition,transformers,3,0,0
Comfy-Org/Qwen-Image_ComfyUI,Comfy-Org,unknown,diffusion-single-file,4,0,1
openai/whisper-tiny,openai,automatic-speech-recognition,transformers,0,1,0
openai/clip-vit-base-patch16,openai,zero-shot-image-classification,transformers,3,0,0
Salesforce/blip-image-captioning-base,Salesforce,image-to-text,transformers,3,0,0
rhasspy/faster-whisper-base-int8,rhasspy,unknown,transformers,3,0,0
speechbrain/spkrec-ecapa-voxceleb,speechbrain,unknown,speechbrain,4,0,0
facebook/esm2_t33_650M_UR50D,facebook,fill-mask,transformers,3,0,0
meta-llama/Meta-Llama-3-8B,meta-llama,text-generation,transformers,2,0,0
facebook/wav2vec2-base-960h,facebook,automatic-speech-recognition,transformers,2,0,0
HauhauCS/Qwen3.6-35B-A3B-Uncensored-HauhauCS-Aggressive,HauhauCS,image-text-to-text,missing,1,-1,1
Qwen/Qwen2-VL-7B-Instruct-AWQ,Qwen,image-text-to-text,transformers,2,0,0
ibm-research/PowerMoE-3b,ibm-research,text-generation,transformers,3,0,0
farbodtavakkoli/OTel-2.0-LLM-31B-IT,farbodtavakkoli,text-generation,transformers,1,-1,1
Qwen/Qwen3-VL-235B-A22B-Instruct,Qwen,image-text-to-text,transformers,2,0,0
Qwen/Qwen2.5-Coder-32B-Instruct-AWQ,Qwen,text-generation,transformers,2,0,0
farbodtavakkoli/OTel-LLM-8B-A1B-IT,farbodtavakkoli,text-generation,missing,1,0,1
handy-computer/parakeet-unified-en-0.6b-gguf,handy-computer,automatic-speech-recognition,transcribe.cpp,1,-1,1
meta-llama/Meta-Llama-3-8B-Instruct,meta-llama,text-generation,transformers,2,0,0
meta-llama/Llama-3.2-1B,meta-llama,text-generation,transformers,2,0,0
neuralmind/bert-large-portuguese-cased,neuralmind,fill-mask,transformers,3,0,0
Qwen/Qwen3.5-122B-A10B,Qwen,image-text-to-text,transformers,2,0,0
HuggingFaceTB/SmolLM2-135M,HuggingFaceTB,text-generation,transformers,2,0,0
Alibaba-NLP/gte-large-en-v1.5,Alibaba-NLP,sentence-similarity,transformers,3,0,0
nvidia/diffusiongemma-26B-A4B-it-NVFP4,nvidia,text-generation,missing,1,0,1
distilbert/distilroberta-base,distilbert,fill-mask,transformers,3,0,0
jonatasgrosman/wav2vec2-large-xlsr-53-japanese,jonatasgrosman,automatic-speech-recognition,transformers,3,0,0
mlx-community/parakeet-tdt-0.6b-v2,mlx-community,automatic-speech-recognition,mlx,4,0,0
BAAI/bge-large-zh-v1.5,BAAI,feature-extraction,sentence-transformers,0,0,0
Qwen/Qwen2.5-Omni-3B,Qwen,any-to-any,transformers,2,0,0
google/gemma-4-12B-it-qat-w4a16-ct,google,any-to-any,transformers,1,0,1
deepseek-ai/DeepSeek-V4-Pro,deepseek-ai,text-generation,transformers,2,0,1
stable-diffusion-v1-5/stable-diffusion-v1-5,stable-diffusion-v1-5,text-to-image,diffusers,4,0,0
distil-whisper/distil-large-v3,distil-whisper,automatic-speech-recognition,transformers,3,0,0
nvidia/GLM-5.2-NVFP4,nvidia,text-generation,Model Optimizer,1,0,1
nomic-ai/nomic-embed-text-v2-moe,nomic-ai,sentence-similarity,sentence-transformers,0,1,0
jonatasgrosman/wav2vec2-large-xlsr-53-greek,jonatasgrosman,automatic-speech-recognition,transformers,3,0,0
sentence-transformers-testing/stsb-bert-tiny-safetensors,sentence-transformers-testing,sentence-similarity,sentence-transformers,3,0,0
Qwen/Qwen2-VL-7B-Instruct,Qwen,image-text-to-text,transformers,2,0,0
microsoft/table-transformer-structure-recognition,microsoft,object-detection,transformers,3,0,0
Qwen/Qwen3-TTS-12Hz-0.6B-CustomVoice,Qwen,text-to-speech,missing,2,0,0
indonesian-nlp/wav2vec2-indonesian-javanese-sundanese,indonesian-nlp,automatic-speech-recognition,transformers,3,0,0
cambridgeltl/SapBERT-from-PubMedBERT-fulltext,cambridgeltl,feature-extraction,transformers,3,0,0
Bingsu/yolo-world-mirror,Bingsu,unknown,ultralytics,4,0,0
nvidia/parakeet-ctc-1.1b,nvidia,automatic-speech-recognition,nemo,4,-1,0
Qwen/Qwen3-0.6B-FP8,Qwen,text-generation,transformers,2,0,0
Qwen/Qwen-72B,Qwen,text-generation,transformers,2,0,0
nvidia/bigvgan_v2_22khz_80band_256x,nvidia,audio-to-audio,PyTorch,4,-1,0
apple/OpenELM-1_1B-Instruct,apple,text-generation,transformers,3,0,0
BAAI/bge-small-en,BAAI,feature-extraction,transformers,3,0,0
ai21labs/Jamba-tiny-dev,ai21labs,unknown,missing,3,0,0
google-t5/t5-base,google-t5,translation,transformers,0,0,0
meta-llama/Llama-3.2-3B-Instruct,meta-llama,text-generation,transformers,2,0,0
meta-llama/Llama-3.1-8B,meta-llama,text-generation,transformers,2,0,0
nvidia/Nemotron-3-Nano-Omni-30B-A3B-Reasoning-NVFP4,nvidia,any-to-any,transformers,1,-1,1
facebook/wav2vec2-xls-r-300m,facebook,unknown,transformers,0,1,0
Qwen/Qwen2.5-32B-Instruct,Qwen,text-generation,transformers,2,0,0
facebook/bart-large-cnn,facebook,summarization,transformers,0,0,0
Qwen/Qwen3-Coder-30B-A3B-Instruct,Qwen,text-generation,transformers,2,0,0
rizvandwiki/gender-classification,rizvandwiki,image-classification,transformers,3,0,0
Snowflake/snowflake-arctic-embed-l-v2.0,Snowflake,sentence-similarity,sentence-transformers,0,1,0
zai-org/GLM-5.2,zai-org,text-generation,transformers,1,0,1
openai-community/gpt2-large,openai-community,text-generation,transformers,3,0,0
facebook/w2v-bert-2.0,facebook,feature-extraction,transformers,0,1,0
cyankiwi/Qwen3.6-35B-A3B-AWQ-4bit,cyankiwi,image-text-to-text,transformers,1,0,1
google/siglip-base-patch16-224,google,zero-shot-image-classification,transformers,3,0,0
stabilityai/stable-diffusion-xl-base-1.0,stabilityai,text-to-image,diffusers,4,-1,0
google/owlv2-base-patch16-ensemble,google,zero-shot-object-detection,transformers,3,0,0
finiteautomata/bertweet-base-sentiment-analysis,finiteautomata,text-classification,transformers,3,0,0
RedHatAI/Llama-3.2-1B-Instruct-FP8-dynamic,RedHatAI,text-generation,missing,3,0,0
microsoft/TRELLIS.2-4B,microsoft,image-to-3d,trellis2,4,-1,0
amazon/chronos-bolt-base,amazon,time-series-forecasting,chronos-forecasting,4,0,0
NeoQuasar/Kronos-base,NeoQuasar,time-series-forecasting,missing,4,0,0
Systran/faster-whisper-base,Systran,automatic-speech-recognition,ctranslate2,0,1,0
Comfy-Org/flux2-dev,Comfy-Org,unknown,diffusion-single-file,4,-1,1
google/siglip2-base-patch16-naflex,google,zero-shot-image-classification,transformers,3,0,0
unsloth/gemma-4-26B-A4B-it-GGUF,unsloth,image-text-to-text,missing,1,0,1
sentence-transformers/paraphrase-mpnet-base-v2,sentence-transformers,sentence-similarity,sentence-transformers,3,0,0
Qwen/Qwen3-Omni-30B-A3B-Instruct,Qwen,any-to-any,transformers,2,0,0
jonatasgrosman/wav2vec2-large-xlsr-53-arabic,jonatasgrosman,automatic-speech-recognition,transformers,3,0,0
amazon/chronos-t5-base,amazon,time-series-forecasting,chronos-forecasting,4,0,0
timm/tf_efficientnetv2_s.in21k_ft_in1k,timm,image-classification,timm,4,0,0
